Con;Reg;WggVio;WggVioSex;WggVioGen;WggIndNom;WggRefDisp;WggPreg;Year;;;;;;;;;
Mexico;Americas;0;0;0;1;0;0;1996;;;Bahrain;0;0;0;;;
Mexico;Americas;0;0;0;1;0;0;1995;;;Burundi;3;3;6;;;
Myanmar;Asia and Pacific;1;1;0;0;0;0;2015;;;Central African Republic;5;4;9;;;
Myanmar;Asia and Pacific;1;1;0;0;0;0;2015;;;Colombia;6;5;11;;;
Myanmar;Asia and Pacific;1;0;1;0;0;0;2015;;;Croatia/Yugoslavia (former);0;0;0;;;
Nepal;Asia and Pacific;1;1;1;0;0;1;2015;;;Democratic Republic of Congo;7;5;12;;;
Nepal;Asia and Pacific;0;0;0;1;0;0;2007;;;Ethiopia/Kenya;1;1;2;;;
Nepal;Asia and Pacific;1;0;1;0;0;0;2007;;;Guatemala;2;2;4;;;
Nepal;Asia and Pacific;1;0;1;0;0;0;2006;;;Indonesia/Aceh;3;3;6;;;
Nepal;Asia and Pacific;1;1;1;0;0;0;2006;;;Iraq;1;1;2;;;
Nigeria/Plateau State;Africa (excl MENA);1;0;1;0;0;0;2013;;;Ireland/United Kingdom/Northern Ireland;1;1;2;;;
Pakistan/Taliban;Cross-regional;1;0;1;0;0;0;2009;;;Israel/Palestine;0;0;0;;;
Pakistan/Taliban;Cross-regional;1;0;1;0;0;0;2008;;;Kenya;4;2;6;;;
Papua New Guinea/Bougainville;Asia and Pacific;1;0;0;0;0;1;1994;;;Libya;0;0;0;;;
Philippines;Asia and Pacific;0;0;0;0;0;1;2004;;;Mali/Azawad;2;2;4;;;
Philippines;Asia and Pacific;1;1;1;0;0;1;1998;;;Mexico;1;1;2;;;
Philippines/Cordillera;Asia and Pacific;1;0;1;0;0;0;2011;;;Myanmar;3;2;5;;;
Philippines/Mindanao;Asia and Pacific;1;0;1;0;0;0;2012;;;Nepal;4;2;6;;;
Philippines/Mindanao;Asia and Pacific;1;0;1;0;0;0;2010;;;Nigeria/Plateau State;1;0;1;;;
Philippines/Mindanao;Asia and Pacific;0;0;0;0;1;0;2007;;;Pakistan/Taliban;2;0;2;;;
Philippines/Mindanao;Asia and Pacific;1;1;0;0;0;0;2001;;;Papua New Guinea/Bougainville;1;0;1;;;
Philippines/Mindanao;Asia and Pacific;1;1;0;0;0;0;2000;;;Philippines;1;1;2;;;
Philippines/Rebolusyonaryong Alyansang Makabansa (SFP-YOU) ;Asia and Pacific;1;1;0;0;0;0;1995;;;Philippines/Cordillera;1;0;1;;;
Russia/Chechnya;Europe and Eurasia;0;0;0;0;0;1;1996;;;Philippines/Mindanao;4;2;6;;;
Somalia;Africa (excl MENA);1;1;1;0;0;1;2012;;;Philippines/Rebolusyonaryong Alyansang Makabansa (SFP-YOU) ;1;1;2;;;
Somalia;Africa (excl MENA);1;0;0;0;0;1;2004;;;Russia/Chechnya;0;0;0;;;
South Sudan;Africa (excl MENA);0;0;0;0;0;1;2020;;;Somalia;2;1;3;;;
South Sudan;Africa (excl MENA);1;1;1;0;0;0;2018;;;South Sudan;7;4;11;;;
South Sudan;Africa (excl MENA);1;1;0;0;1;0;2017;;;South Sudan/Sudan;1;1;2;;;
South Sudan;Africa (excl MENA);1;0;1;0;0;0;2017;;;South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei;2;0;2;;;
South Sudan;Africa (excl MENA);1;1;1;0;0;0;2015;;;Sri Lanka;2;1;3;;;
South Sudan;Africa (excl MENA);0;0;0;0;1;0;2014;;;Sudan/Darfur;4;2;6;;;
South Sudan;Africa (excl MENA);1;1;1;0;0;0;2014;;;Syria;2;1;3;;;
South Sudan;Africa (excl MENA);1;0;1;0;0;0;1999;;;Uganda;3;3;6;;;
South Sudan;Africa (excl MENA);1;0;1;0;0;0;1999;;;Yemen;1;0;1;;;
South Sudan/Sudan;Africa (excl MENA);0;0;0;0;0;1;2005;;;Zimbabwe;1;0;1;;;
South Sudan/Sudan;Africa (excl MENA);1;1;0;0;0;0;2002;;;Total general;87;56;143;;;
South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei;Africa (excl MENA);1;0;1;0;0;0;2010;;;;;;;;;
South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei;Africa (excl MENA);1;0;1;0;0;0;2008;;;;;;;;;
Sri Lanka;Asia and Pacific;0;0;0;0;1;0;2003;;;;;;;;;
Sri Lanka;Asia and Pacific;1;0;0;0;1;0;2002;;;;;;;;;
Sri Lanka;Asia and Pacific;1;1;0;0;0;0;2000;;;;;;;;;
Sudan/Darfur;Africa (excl MENA);0;0;0;1;0;0;2013;;;;;;;;;
Sudan/Darfur;Africa (excl MENA);1;1;1;0;0;0;2013;;;;;;;;;
Sudan/Darfur;Africa (excl MENA);1;1;1;0;1;1;2011;;;;;;;;;
Sudan/Darfur;Africa (excl MENA);1;0;1;0;0;0;2010;;;;;;;;;
Sudan/Darfur;Africa (excl MENA);1;0;1;0;1;1;2006;;;;;;;;;
Syria;Middle East and North Africa;0;0;0;0;1;0;2015;;;;;;;;;
Syria;Middle East and North Africa;1;1;0;0;0;0;2015;;;;;;;;;
Syria;Middle East and North Africa;1;0;0;0;1;0;2014;;;;;;;;;
Uganda;Africa (excl MENA);1;1;0;0;0;1;2008;;;;;;;;;
Uganda;Africa (excl MENA);1;1;1;0;0;0;2008;;;;;;;;;
Uganda;Africa (excl MENA);1;1;0;0;1;0;2007;;;;;;;;;
Yemen;Middle East and North Africa;1;0;1;0;1;1;2014;;;;;;;;;
Zimbabwe;Africa (excl MENA);1;0;0;0;0;1;2013;;;;;;;;;
